Image,Name,Scientific Name,Weight(KG),Height(CM),Conservation Status,Habitat,Diet,Age
augimg/Macaca pagensis/aimage18.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Papio cynocephalus/dimage2.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus cristatus/aimage81.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus oedipus/ximage86.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Pygathrix cinerea/image79.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus imperator/orgi-image70.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus ascanius/dimage92.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Piliocolobus waldronae/ximage74.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles fusciceps/yimage69.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus mystax/dimage10.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Theropithecus gelada/image0.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus ascanius/zimage54.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cebus spp/dimage9.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Mandrillus sphinx/image10.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Leontopithecus rosalia/orgi-image65.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobatidae family/orgi-image39.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobates klossii/cimage16.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cacajao calvus/cimage36.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus neglectus/cimage41.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca nigra/zimage37.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca silenus/ximage46.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Semnopithecus priam/zimage46.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Mandrillus sphinx/dimage26.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus neglectus/orgi-image23.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Colobus guereza/yimage23.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Lagothrix spp/bimage96.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Piliocolobus waldronae/bimage5.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobates moloch/orgi-munich-zoo-hellabrunn-founded-in-1911-was-the-first-geo-zoo-worldwide-DDGYJ1.jpg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca pagensis/yimage65.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Daubentonia madagascariensis/ximage6.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus obscurus/cimage72.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Presbytis spp/cimage3.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles spp/image42.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobatidae family/zded-gibbon-is-an-endangered-primate-in-the-gibbon-family-hylobatidae-2A4R8NY.jpg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saimiri boliviensis/dimage52.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus cristatus/yimage64.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles belzebuth/dimage90.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Papio spp/zimage25.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus roloway/yimage36.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca fuscata/cimage60.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Rhinopithecus roxellana/bimage92.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus mystax/dimage48.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus ascanius/aimage28.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Piliocolobus rufomitratus/dimage10.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles belzebuth/orgi-image50.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Rhinopithecus roxellana/orgi-image3.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Theropithecus gelada/aimage84.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Propithecus perrieri/bimage94.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca mulatta/ximage25.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobates moloch/danimal-gallery_javan-gibbon_2.jpg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Gorilla beringei beringei/ximage94.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus neglectus/yimage85.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Presbytis spp/aimage5.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Lagothrix spp/bimage98.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus delacouri/ximage64.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Piliocolobus rufomitratus/bimage28.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Rhinopithecus roxellana/ximage77.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Chlorocebus sabaeus/aimage88.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus roloway/yimage88.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobates klossii/bimage22.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus cristatus/zimage22.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Theropithecus gelada/cimage26.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles fusciceps/cimage83.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Callithrix spp/bimage24.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Nomascus leucogenys/yimage14.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Piliocolobus rufomitratus/cimage19.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles chamek/dimage38.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cacajao calvus/dimage8.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saimiri boliviensis/bimage79.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles paniscus/aimage75.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobates klossii/bimage18.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Aotus spp/ximage11.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus oedipus/yimage28.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Rhinopithecus avunculus/yimage8.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles spp/zimage83.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Rhinopithecus avunculus/zimage63.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca spp/zimage71.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Papio spp/bimage81.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobates klossii/dimage7.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles spp/aimage64.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Rhinopithecus avunculus/yimage74.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Piliocolobus rufomitratus/cimage88.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cebus spp/aimage86.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus ascanius/orgi-image94.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Pygathrix nemaeus/orgi-image71.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Rhinopithecus roxellana/cimage43.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Papio spp/bimage40.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Pithecia spp/ximage10.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cebus spp/cimage56.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca pagensis/cimage33.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cebus spp/cimage4.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Nasalis larvatus/orgi-image10.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca mulatta/bimage91.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus cristatus/zimage1.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Piliocolobus waldronae/zimage51.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Piliocolobus rufomitratus/cimage60.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus oedipus/dimage57.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus spp/image5.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Plecturocebus geoffroyi/aimage10.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Plecturocebus geoffroyi/dimage65.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus ascanius/orgi-image16.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus auratus/bimage94.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Presbytis spp/ximage14.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saimiri boliviensis/ximage8.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Leontopithecus chrysomelas/yimage97.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca mulatta/image65.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus imperator/ximage14.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Erythrocebus patas/orgi-image76.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus roloway/image30.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Alouatta spp/orgi-image81.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Pygathrix cinerea/cimage18.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles belzebuth/bimage3.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Semnopithecus spp/zimage86.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles fusciceps/dimage12.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus roloway/orgi-image90.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Erythrocebus patas/yimage25.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Pygathrix cinerea/image10.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saimiri boliviensis/aimage63.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Piliocolobus waldronae/bimage53.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobatidae family/xded-gibbon-is-an-endangered-primate-in-the-gibbon-family-hylobatidae-2A4R8NY.jpg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Nomascus leucogenys/bimage31.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus vetulus/orgi-image78.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles spp/aimage17.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Erythrocebus patas/orgi-image78.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus phayrei/aimage41.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Gorilla beringei beringei/orgi-image36.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca fuscata/orgi-image22.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Aotus spp/cimage10.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saimiri boliviensis/ximage79.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Gorilla beringei beringei/cimage16.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Piliocolobus rufomitratus/zimage62.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles belzebuth/bimage7.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus oedipus/bimage40.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobates moloch/zSilvery_Gibbon_28Hylobates_moloch29.jpg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles geoffroyi/aimage2.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Papio cynocephalus/orgi-image84.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca mulatta/cimage94.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Nomascus leucogenys/dimage25.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saimiri spp/image92.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus obscurus/zimage0.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus delacouri/ximage93.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Rhinopithecus avunculus/aimage36.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Piliocolobus waldronae/ximage8.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus mona/aimage67.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobatidae family/aajp22631-fig-0002-m.jpg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobates moloch/image55.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles paniscus/zimage25.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus roloway/dimage2.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Alouatta spp/dimage7.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Propithecus perrieri/aimage1.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus mystax/orgi-image15.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca fuscata/yimage71.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca radiata/dimage3.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Alouatta spp/yimage28.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca nigra/cimage8.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus ascanius/yimage95.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Rhinopithecus roxellana/dimage24.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus oedipus/orgi-image19.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Presbytis spp/yimage46.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus neglectus/bimage14.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Pygathrix cinerea/ximage22.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saimiri boliviensis/ximage69.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Papio spp/ximage2.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Rhinopithecus roxellana/dimage50.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Trachypithecus cristatus/zimage53.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca spp/zimage68.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles marginatus/orgi-image82.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus neglectus/ximage29.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus spp/aimage39.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saguinus spp/orgi-image62.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobatidae family/orgi-image78.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Daubentonia madagascariensis/cimage11.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca spp/aimage8.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Semnopithecus spp/bimage44.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles paniscus/yimage19.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus mona/orgi-image1.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Theropithecus gelada/cimage16.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Leontopithecus chrysomelas/yimage8.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles paniscus/dimage82.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Propithecus perrieri/ximage18.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Gorilla beringei beringei/yimage6.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Piliocolobus waldronae/dimage17.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles belzebuth/cimage92.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobates moloch/clarge3.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Lagothrix spp/cimage2.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Hylobates moloch/bmaxresdefault2.jpg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Nomascus leucogenys/bimage2.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Cercopithecus mona/yimage59.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Presbytis spp/image80.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Ateles fusciceps/image0.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Saimiri spp/dimage96.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Rhinopithecus roxellana/bimage71.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Macaca fuscata/yimage28.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Mandrillus sphinx/zimage45.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
augimg/Chlorocebus sabaeus/zimage67.jpeg,Macaque,Macaca spp.,12.0,56.0,Common,Asia,Omnivores,25.0
